Abortiporus biennis
Agaricus arvensis
Agaricus augustus
Agaricus bitorquis
Agaricus californicus
Agaricus campestris
Agaricus hondensis
Agaricus subrutilescens
Agaricus xanthodermus
Agrocybe molesta
Agrocybe pediades
Agrocybe praecox
Agrocybe putaminum
Amanita aprica
Amanita augusta
Amanita bisporigera
Amanita brunnescens
Amanita caesarea
Amanita calyptroderma
Amanita citrina
Amanita crenulata
Amanita crocea
Amanita excelsa
Amanita farinosa
Amanita flavoconia
Amanita flavorubens
Amanita frostiana
Amanita fulva
Amanita jacksonii
Amanita junquillea
Amanita lavendula
Amanita magniverrucata
Amanita muscaria
Amanita nothofagi
Amanita novinupta
Amanita ocreata
Amanita pachycolea
Amanita pantherina
Amanita pantherinoides
Amanita parcivolvata
Amanita pekeoides
Amanita persicina
Amanita phalloides
Amanita polypyramis
Amanita porphyria
Amanita regalis
Amanita rubescens
Amanita velosa
Amanita vernicoccora
Amanita xanthocephala
Ampulloclitocybe clavipes
Anthracophyllum archeri
Apioperdon pyriforme
Armillaria borealis
Armillaria gallica
Armillaria luteobubalina
Armillaria mellea
Armillaria novae-zelandiae
Armillaria ostoyae
Armillaria sinapina
Arrhenia chlorocyanea
Arrhenia epichysium
Asterophora lycoperdoides
Astraeus hygrometricus
Auriscalpium vulgare
Austrocortinarius australiensis
Baeospora myosura
Battarrea phalloides
Bjerkandera adusta
Bolbitius titubans
Boletus edulis
Bondarzewia berkeleyi
Calocera cornea
Calocybe gambosa
Calostoma cinnabarinum
Calvatia booniana
Calvatia cyathiformis
Calvatia gigantea
Candolleomyces candolleanus
Cantharellula umbonata
Cantharellus californicus
Caulorhiza umbonata
Chlorophyllum brunneum
Chlorophyllum molybdites
Chlorophyllum olivieri
Chlorophyllum rhacodes
Chondrostereum purpureum
Chroogomphus vinicolor
Chrysomphalina aurantiaca
Clathrus columnatus
Clathrus ruber
Clavaria fragilis
Clavaria fumosa
Clavaria zollingeri
Clavogaster virescens
Clavulina coralloides
Clavulinopsis amoena
Clavulinopsis aurantiocinnabarina
Clavulinopsis corniculata
Clavulinopsis fusiformis
Clavulinopsis helvola
Clavulinopsis laeticolor
Clavulinopsis sulcata
Clitocybe fragrans
Clitocybe glacialis
Clitocybe nebularis
Clitopilus prunulus
Collybia brunneocephala
Collybia nuda
Collybia odora
Collybia personata
Collybia sordida
Collybiopsis confluens
Collybiopsis luxurians
Collybiopsis peronata
Collybiopsis quercophila
Conocybe apala
Coprinellus disseminatus
Coprinellus domesticus
Coprinellus flocculosus
Coprinellus micaceus
Coprinopsis atramentaria
Coprinopsis lagopus
Coprinopsis picacea
Coprinopsis variegata
Coprinus comatus
Cortinarius alboviolaceus
Cortinarius archeri
Cortinarius armillatus
Cortinarius austrovenetus
Cortinarius bolaris
Cortinarius caperatus
Cortinarius iodes
Cortinarius rotundisporus
Cortinarius semisanguineus
Cortinarius sinapicolor
Cortinarius traganus
Cortinarius violaceus
Crepidotus applanatus
Crepidotus crocophyllus
Crepidotus mollis
Crucibulum laeve
Crucibulum simile
Cruentomycena viscidocruenta
Cuphophyllus pratensis
Cuphophyllus virgineus
Cyathus olla
Cyathus stercoreus
Cyathus striatus
Cyclocybe cylindracea
Cyclocybe parasitica
Cyptotrama asprata
Cyptotrama chrysopepla
Cystoderma amianthinum
Cystoderma aureum
Deconica coprophila
Deconica horizontalis
Deconica montana
Desarmillaria caespitosa
Descolea recedens
Echinoderma asperum
Entoloma abortivum
Entoloma hochstetteri
Entoloma incanum
Entoloma medianox
Entoloma murrayi
Entoloma quadratum
Entoloma sericeum
Entoloma strictius
Exidia glandulosa
Favolaschia claudopus
Favolaschia manipularis
Fistulina americana
Fistulina hepatica
Fistulina spiculifera
Flammula alnicola
Flammulina velutipes
Floccularia albolanaripes
Galerina hypnorum
Galerina marginata
Galerina patagonica
Ganoderma applanatum
Ganoderma oregonense
Geastrum saccatum
Gerronema strombodes
Gliophorus graminicolor
Gliophorus irrigatus
Gliophorus laetus
Gliophorus psittacinus
Gloeophyllum sepiarium
Gloioxanthomyces chromolimoneus
Gloioxanthomyces nitidus
Grifola frondosa
